時間戳記,性別(性自認に基づいて),年齢,国籍・地域,住居状況,婚姻状況,インタラクションしている(遊ぶ・触れ合う・ 話しかける・抱きしめる...)ぬいぐるみを持っていますか？もし持っていれば、何匹/何体ですか？ ,ぬいぐるみとインタラクションする(遊ぶ・触れ合う・話しかける・抱きしめる...)頻度はどのくらいですか？,普段ぬいぐるみと行うインタラクション(複数選択可),周りの人があなたとぬいぐるみとのインタラクションにどう反応するか 気にしますか？,あなたにとってぬいぐるみはどのような存在ですか？(複数選択可),あなたのぬいぐるみは、あなたのことをどのように呼んでいますか？(もしあれば、複数選択可),「ぬいぐるみは、私に寄り添ってくれるように感じられ、孤独感を和らげてくれる」,「ぬいぐるみは、私の心の拠り所だ」,「ぬいぐるみは誰よりも私のことを理解している」,「SNSでぬいぐるみとの触れ合いを共有することで、コミュニティへの帰属意識が得られる」,「ぬいぐるみによって、幸せを感じたり、心が慰められたり、安心感を覚えたりする」,「ぬいぐるみと交流することは、私のストレスを解消したり、ネガティブな感情を和らげたりするのに役立つ」,「私はぬいぐるみのない生活は受け入れられない」,「私はぬいぐるみを自分の子供と見なしている」,「ぬいぐるみがそばにいてくれるだけで、私は一人じゃない」,「ぬいぐるみがあると安心する」,「ぬいぐるみを持つことは大人になっても自然なことだ」,「できれば、ぬいぐるみには一生一緒にいてほしい」,「ぬいぐるみにも生命がある！」,現在、ペットを飼っていますか？,現在、お子さんはいますか？(ぬいぐるみの子どもは含みません),ぬいぐるみをを飼う・育てる・利用する行為は、SNSの影響を受けていますか？,ぬいぐるみを飼う・育てる・利用することは、あなたが子供が欲しい気持ちを代替または緩和すると思いますか？,ぬいぐるみを飼う・育てる・利用することは、あなたがペットを飼いたいという欲求を代替または緩和すると思いますか？,もし自分が死んだ後、ぬいぐるみの世話をする人がいなくなったらどうなるか 考えたことはありますか？,自分が死んだ後、別の世界(天国/極楽浄土/異世界など)でぬいぐるみと再会できると思いますか？,ぬいぐるみを 飼う・育てる・利用するという現象について、何か思うことはありますか？(もしあれば),自分が死んだ後、ぬいぐるみがどうなるかについて、何か補足で考えていることはありますか？（もしあれば）,あなたのぬいぐるみ、またはあなたとぬいぐるみとの面白い写真があれば、皆さんにシェアしていただけませんか？(もしあれば。校内上映の期末報告動画で使用させていただく可能性があります),もし写真をシェアしてくださった場合は、どのような状況の写真か、追加で説明していただけますでしょうか？,ぬいぐるみに関するあらゆることについて、他に何かお話したいことはありますか？,もしあなたの回答がとても興味深いと感じた場合、ビデオインタビューをお願いしてもよろしいでしょうか？,あなたの国・文化圏では、大人がぬいぐるみを【持つ】ことについてどのように考えられていますか？,あなたの国・文化圏では、大人がぬいぐるみと【インタラクション】している(遊ぶ・触れ合う・ 話しかける・抱きしめる...) ことについてどのように考えられていますか？,あなたの国・文化圏では、どのような場面でぬいぐるみが登場することが多いですか？(複数選択可)
2025/4/4 上午 6:34:30,女性,41~48歳,香港,配偶者と一緒に住む,既婚,11匹以上,毎日1回,"職場や学校に連れて行く, 名前を付けて性格を与える, ぬいぐるみに服を着せる, 写真を撮ってSNSに投稿する, 抱きしめる・すりすりする・においを嗅ぐ, 出かける前にぬいぐるみに布団をかけてあげる, 国内旅行に連れて行く, 海外旅行に連れて行く, 同じ布団で一緒に寝る",全く気にしない,"ペット, コレクション",はは・ちち・お母さん・お父さん,賛成,賛成,不賛成,不賛成,よく,賛成,賛成,賛成,特に思いはない,賛成,賛成,賛成,特に思いはない,はい,いいえ、子供を持つことは考えていない,いいえ,元々子供を持つつもりはない,この質問については、特に思いはない,はい、まだどうすればいいか分からない,ありえないと思う,特になし,特になし,https://drive.google.com/open?id=1ViCraam5JTBEU0q-9jCik5ZPCCVRPAeP,結婚式のデコレーションです。,でっかいぬいぐるみ（60センチ以上）が一番好きです。,いいえ、結構,分からない・特に何も思わない,分からない・特に何も思わない,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, 癒し目的"
2025/4/6 上午 1:22:21,男性,18~25歳,台湾,配偶者と一緒に住む,既婚,持っていない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分からない・特に何も思わない,分からない・特に何も思わない,恋人・家族や友達のプレゼント
2025/4/12 上午 9:56:24,女性,26~33歳,日本,配偶者と一緒に住む,既婚,11匹以上,毎日何度も,"外出する際に連れて行く, 食べさせる, 日常的に話しかける, 名前を付けて性格を与える, ぬいぐるみに服を着せる, ぬいぐるみ同士でおしゃべり・触れ合いをする, 写真を撮ってSNSに投稿する, 出かける前にぬいぐるみに布団をかけてあげる",少し気になるが、特に問題ない,家族,兄・姉・お兄さん・お姉さん・アニキ,賛成,賛成,賛成,賛成,よく,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,いいえ、でもペットを飼うつもりはある,はい,いいえ,いいえ、両者のニーズの性質は異なる,部分的に同意する,はい、親しい友人や家族に託す,はい、そう思う,,,,,幼少から親と離れ離れの暮らしをした私のような場合、特に悲しみを和らげることにぬいぐるみは役立ちます,いいえ、結構,ある程度理解されている,少し珍しく、特定の人だけがする印象,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア"
2025/4/12 下午 8:35:25,女性,33~40歳,日本,1人暮らし,未婚,1~3匹,就寝前、寝そべった後に動悸がする時,"抱きしめる・すりすりする・においを嗅ぐ, 同じ布団で一緒に寝る, 帰省するときに連れて行く",できれば人には知られたくない,"友達, コレクション",ぬいぐるみからの反応は期待していないので答えられない,賛成,賛成,特に思いはない,特に思いはない/こんなことはしていない,時々,賛成,賛成,不賛成,賛成,賛成,賛成,賛成,賛成,いいえ、ペットを飼うつもりもない,いいえ、子供を持つことは考えていない,はい,元々子供を持つつもりはない,元々ペットを飼うつもりはない,いいえ、考えたことはない,いいえ、考えたことはない,,,,,,いいえ、結構,一般的で、特に珍しくない,ある程度理解されている,"子供の遊び道具, インテリア, 癒し目的, 推し活"
2025/4/12 下午 8:39:27,男性,49歳以上,日本,1人暮らし,未婚,持っていない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分からない・特に何も思わない,分からない・特に何も思わない,"子供の遊び道具, インテリア, 一緒に寝る"
2025/4/12 下午 9:12:52,女性,26~33歳,日本,1人暮らし,未婚,1~3匹,週に数回,"イベント(同人祭り・コスプレイベント・マラソンなど)に連れて行く, 外出する際に連れて行く, 食べさせる, ぬいぐるみに服を着せる, 写真を撮ってSNSに投稿する, 場面を演じる, 自分で運転・乗車する乗り物(自家用車・バイク・自転車・バス・タクシー・飛行機など)に、ぬいぐるみを乗客として座らせる, 映画撮影",全く気にしない,友達,お前、君、あなた、などの二人称,賛成,特に思いはない,特に思いはない,賛成,時々,賛成,賛成,特に思いはない,特に思いはない,特に思いはない,特に思いはない,特に思いはない,賛成,実家に犬がいます。,いいえ、まだ決めていない,はい,いいえ、両者のニーズの性質は異なる,いいえ、両者のニーズの性質は異なる,いいえ、考えたことはない,いいえ、考えたことはない,生活の質の向上,欲しい人の手に渡れば良いと思いました。,"https://drive.google.com/open?id=1k55OtKfrDkJiUmRCjQHPkRh7u96n-kD4, https://drive.google.com/open?id=1o5R3R3ihAEp1_TuuD_VrKHUwyrIuZzt-",美味しい蕎麦を食べに行った時の写真と、薔薇を見に行った時の写真です。,ぬいぐるみは小さき命,いいえ、結構,少し珍しく、特定の人だけがする印象,少し珍しく、特定の人だけがする印象,"子供の遊び道具, インテリア"
2025/4/12 下午 9:47:02,女性,26~33歳,日本,実家,未婚,1~3匹,毎日何度も,"抱きしめる・すりすりする・においを嗅ぐ, 同じ布団で一緒に寝る",少し気になるが、特に問題ない,"友達, ペット",ぬいぐるみがこちらに話しかけることは想定していない,賛成,賛成,特に思いはない,特に思いはない/こんなことはしていない,よく,賛成,賛成,不賛成,特に思いはない,賛成,賛成,賛成,特に思いはない,いいえ、ペットを飼うつもりもない,いいえ、子供を持つことは考えていない,いいえ,元々子供を持つつもりはない,元々ペットを飼うつもりはない,いいえ、考えたことはない,いいえ、考えたことはない,,,,,,いいえ、結構,ある程度理解されている,少し珍しく、特定の人だけがする印象,"子供の遊び道具, 恋人・家族や友達のプレゼント, ファッションアイテム, 癒し目的, 心理セラピー目的"
2025/4/12 下午 10:19:08,女性,26~33歳,日本,実家,未婚,1~3匹,たまに,"抱きしめる・すりすりする・においを嗅ぐ, 同じ布団で一緒に寝る",全く気にしない,友達,呼ばない,特に思いはない,特に思いはない,特に思いはない,特に思いはない/こんなことはしていない,よく,特に思いはない,賛成,特に思いはない,特に思いはない,賛成,賛成,賛成,賛成,いいえ、でもペットを飼うつもりはある,いいえ、子供を持つことは考えていない,いいえ,いいえ、両者のニーズの性質は異なる,いいえ、両者のニーズの性質は異なる,いいえ、考えたことはない,いいえ、考えたことはない,,,,,,いいえ、結構,一般的で、特に珍しくない,ある程度理解されている,"子供の遊び道具, ファッションアイテム, 癒し目的"
2025/4/14 上午 10:28:43,女性,49歳以上,日本,配偶者と一緒に住む,既婚,7~10匹,毎日何度も,"外出する際に連れて行く, 日常的に話しかける, 悩みや秘密、心の内を打ち明ける, 名前を付けて性格を与える, ぬいぐるみ同士でおしゃべり・触れ合いをする, 抱きしめる・すりすりする・においを嗅ぐ, 出かける前にぬいぐるみに布団をかけてあげる, 国内旅行に連れて行く, 海外旅行に連れて行く, 同じ布団で一緒に寝る, 自分で運転・乗車する乗り物(自家用車・バイク・自転車・バス・タクシー・飛行機など)に、ぬいぐるみを乗客として座らせる",恥ずかしいので隠している,"友達, 家族, ペット",,賛成,賛成,特に思いはない,特に思いはない/こんなことはしていない,よく,賛成,賛成,特に思いはない,特に思いはない,賛成,特に思いはない,賛成,賛成,いいえ、ペットを飼うつもりもない,いいえ、子供を持つことは考えていない,いいえ,いいえ、両者のニーズの性質は異なる,元々ペットを飼うつもりはない,はい、私と一緒に火葬・埋葬してもらう,いいえ、考えたことはない,,"まず、死んだ後、ちゃんと一緒に火葬対応してもらえるかわからないのが不安。家の片付けでごみに出されたりしたらとても辛い。
次に、一緒に火葬してもらうしかないと思うが熱い思いをさせるのは可哀そうで、愛してくれる人がいるなら後を託したい。",,,,,少し珍しく、特定の人だけがする印象,少し珍しく、特定の人だけがする印象,"子供の遊び道具, インテリア"
2025/4/15 下午 4:17:34,女性,18~25歳,日本,両親と一緒に住んでいる,未婚,7~10匹,週に数回,"職場や学校に連れて行く, 外出する際に連れて行く, 名前を付けて性格を与える, 抱きしめる・すりすりする・においを嗅ぐ, 同じ布団で一緒に寝る, 寝かしつける",恥ずかしいので隠している,"友達, 家族, パートナー",(名前)ちゃん、(名前)さん,賛成,賛成,賛成,特に思いはない/こんなことはしていない,よく,賛成,賛成,不賛成,不賛成,賛成,賛成,賛成,賛成,はい,いいえ、子供を持つことは考えていない,いいえ,元々子供を持つつもりはない,いいえ、両者のニーズの性質は異なる,いいえ、考えたことはない,はい、そう思う,,,https://drive.google.com/open?id=1QIGnMZrb0GK3CYBscrYHzqNOzjF52_pA,2人でおはなししてたので「写真を撮らせて」と声をかけたら嬉しそうに並んでくれたところ,,いいね,ある程度理解されている,不自然と思われる,"子供の遊び道具, インテリア"
2025/4/15 下午 6:24:05,女性,33~40歳,日本,配偶者と子供,既婚,1~3匹,週に数回,同じ布団で一緒に寝る,全く気にしない,"家族, ペット",飼い主,賛成,賛成,賛成,特に思いはない/こんなことはしていない,時々,賛成,賛成,不賛成,賛成,賛成,賛成,賛成,賛成,いいえ、でもペットを飼うつもりはある,はい,子供がぬいぐるみを可愛がっている姿から影響を受けた,いいえ、両者のニーズの性質は異なる,はい、ペットを飼う意欲を低下させる,いいえ、考えたことはない,いいえ、考えたことはない,ぬいぐるみを含め、物を大切に扱う気持ちが強まった,子供が可愛がってくれると思う,,,,いいえ、結構,一般的で、特に珍しくない,一般的で、特に珍しくない,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, 癒し目的"
2025/4/16 上午 8:38:38,女性,26~33歳,日本,1人暮らし,未婚,1~3匹,毎日何度も,"抱きしめる・すりすりする・においを嗅ぐ, 同じ布団で一緒に寝る",全く気にしない,友達,人間・人間さん,賛成,賛成,賛成,特に思いはない/こんなことはしていない,よく,賛成,賛成,不賛成,賛成,賛成,賛成,賛成,特に思いはない,いいえ、ペットを飼うつもりもない,いいえ、子供を持つことは考えていない,いいえ,元々子供を持つつもりはない,元々ペットを飼うつもりはない,はい、私と一緒に火葬・埋葬してもらう,いいえ、考えたことはない,自閉症なので、ぬいぐるみがそばにいると安心します。対人不安に陥りやすいので、そういう時は抱きしめます。,,,,,いいね,一般的で、特に珍しくない,ある程度理解されている,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, ファッションアイテム, 癒し目的, 心理セラピー目的"
2025/4/16 下午 12:21:12,女性,33~40歳,日本,1人暮らし,未婚,4~6匹,毎日何度も,"イベント(同人祭り・コスプレイベント・マラソンなど)に連れて行く, 外出する際に連れて行く, 食べさせる, 日常的に話しかける, 悩みや秘密、心の内を打ち明ける, 名前を付けて性格を与える, ぬいぐるみに服を着せる, ぬいぐるみ同士でおしゃべり・触れ合いをする, 写真を撮ってSNSに投稿する, 抱きしめる・すりすりする・においを嗅ぐ, 国内旅行に連れて行く, 同じ布団で一緒に寝る, 自分で運転・乗車する乗り物(自家用車・バイク・自転車・バス・タクシー・飛行機など)に、ぬいぐるみを乗客として座らせる",全く気にしない,家族,,賛成,賛成,賛成,賛成,よく,賛成,賛成,特に思いはない,賛成,賛成,賛成,賛成,賛成,いいえ、ペットを飼うつもりもない,いいえ、子供を持つことは考えていない,はい,元々子供を持つつもりはない,この質問については、特に思いはない,はい、私と一緒に火葬・埋葬してもらう,はい、そう思う,,,,,,いいえ、結構,ある程度理解されている,ある程度理解されている,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, 癒し目的, 心理セラピー目的"
